occurence_PK,occurrencedate,occurrencehour,occurrenceday,occurrencemonth,occurrenceyear
489,2014-09-29 04:00:00+00:00,4,29,9,2014
490,2011-09-22 04:00:00+00:00,4,22,9,2011
491,2013-09-18 04:00:00+00:00,4,18,9,2013
492,2013-10-19 04:00:00+00:00,4,19,10,2013
493,2011-08-01 04:00:00+00:00,4,1,8,2011
494,2014-09-30 04:00:00+00:00,4,30,9,2014
495,2009-03-11 04:00:00+00:00,4,11,3,2009
496,2014-10-05 04:00:00+00:00,4,5,10,2014
497,2014-10-06 04:00:00+00:00,4,6,10,2014
498,2014-10-07 04:00:00+00:00,4,7,10,2014
499,2014-10-04 04:00:00+00:00,4,4,10,2014
500,2014-10-03 04:00:00+00:00,4,3,10,2014
501,2012-12-26 05:00:00+00:00,5,26,12,2012
502,2014-10-09 04:00:00+00:00,4,9,10,2014
503,2014-10-08 04:00:00+00:00,4,8,10,2014
504,2014-10-01 04:00:00+00:00,4,1,10,2014
505,2014-10-10 04:00:00+00:00,4,10,10,2014
506,2014-10-02 04:00:00+00:00,4,2,10,2014
507,2014-10-11 04:00:00+00:00,4,11,10,2014
508,2013-01-07 05:00:00+00:00,5,7,1,2013
509,2003-05-01 04:00:00+00:00,4,1,5,2003
510,2010-07-21 04:00:00+00:00,4,21,7,2010
511,2014-10-12 04:00:00+00:00,4,12,10,2014
512,2014-10-15 04:00:00+00:00,4,15,10,2014
513,2014-10-13 04:00:00+00:00,4,13,10,2014
514,2014-10-14 04:00:00+00:00,4,14,10,2014
515,2014-10-16 04:00:00+00:00,4,16,10,2014
516,2014-10-17 04:00:00+00:00,4,17,10,2014
517,2014-10-20 04:00:00+00:00,4,20,10,2014
518,2014-10-18 04:00:00+00:00,4,18,10,2014
519,2014-10-19 04:00:00+00:00,4,19,10,2014
520,2014-10-21 04:00:00+00:00,4,21,10,2014
521,2014-10-26 04:00:00+00:00,4,26,10,2014
522,2014-10-28 04:00:00+00:00,4,28,10,2014
523,2014-10-25 04:00:00+00:00,4,25,10,2014
524,2014-10-23 04:00:00+00:00,4,23,10,2014
525,2014-10-30 04:00:00+00:00,4,30,10,2014
526,2014-10-24 04:00:00+00:00,4,24,10,2014
527,2014-10-27 04:00:00+00:00,4,27,10,2014
528,2014-10-22 04:00:00+00:00,4,22,10,2014
529,2002-03-01 05:00:00+00:00,5,1,3,2002
530,2014-10-29 04:00:00+00:00,4,29,10,2014
531,2001-10-23 04:00:00+00:00,4,23,10,2001
532,2014-10-31 04:00:00+00:00,4,31,10,2014
533,1968-01-01 05:00:00+00:00,5,1,1,1968
534,2014-11-01 04:00:00+00:00,4,1,11,2014
535,2014-11-05 05:00:00+00:00,5,5,11,2014
536,2014-11-04 05:00:00+00:00,5,4,11,2014
537,2014-11-03 05:00:00+00:00,5,3,11,2014
538,2014-11-02 04:00:00+00:00,4,2,11,2014
539,2014-11-09 05:00:00+00:00,5,9,11,2014
540,2000-02-01 05:00:00+00:00,5,1,2,2000
541,2014-11-06 05:00:00+00:00,5,6,11,2014
542,2014-11-07 05:00:00+00:00,5,7,11,2014
543,1988-01-01 05:00:00+00:00,5,1,1,1988
544,2014-11-08 05:00:00+00:00,5,8,11,2014
545,2010-01-01 05:00:00+00:00,5,1,1,2010
546,2010-02-01 05:00:00+00:00,5,1,2,2010
547,2014-11-10 05:00:00+00:00,5,10,11,2014
548,2013-11-24 05:00:00+00:00,5,24,11,2013
549,2014-11-12 05:00:00+00:00,5,12,11,2014
550,2014-11-11 05:00:00+00:00,5,11,11,2014
551,2014-11-13 05:00:00+00:00,5,13,11,2014
552,2014-11-17 05:00:00+00:00,5,17,11,2014
553,2014-11-18 05:00:00+00:00,5,18,11,2014
554,2014-11-19 05:00:00+00:00,5,19,11,2014
555,2014-11-14 05:00:00+00:00,5,14,11,2014
556,2014-11-15 05:00:00+00:00,5,15,11,2014
557,2014-11-16 05:00:00+00:00,5,16,11,2014
558,2008-03-01 05:00:00+00:00,5,1,3,2008
559,2012-11-29 05:00:00+00:00,5,29,11,2012
560,2013-06-20 04:00:00+00:00,4,20,6,2013
561,2011-07-01 04:00:00+00:00,4,1,7,2011
562,2010-03-28 04:00:00+00:00,4,28,3,2010
563,2009-05-24 04:00:00+00:00,4,24,5,2009
564,2014-11-20 05:00:00+00:00,5,20,11,2014
565,2013-06-14 04:00:00+00:00,4,14,6,2013
566,2012-12-30 05:00:00+00:00,5,30,12,2012
567,2014-11-21 05:00:00+00:00,5,21,11,2014
568,2014-11-29 05:00:00+00:00,5,29,11,2014
569,2014-11-23 05:00:00+00:00,5,23,11,2014
570,2014-11-24 05:00:00+00:00,5,24,11,2014
571,2014-11-30 05:00:00+00:00,5,30,11,2014
572,2014-11-28 05:00:00+00:00,5,28,11,2014
573,2010-08-21 04:00:00+00:00,4,21,8,2010
574,2014-11-25 05:00:00+00:00,5,25,11,2014
575,2014-11-27 05:00:00+00:00,5,27,11,2014
576,2014-12-01 05:00:00+00:00,5,1,12,2014
577,2011-02-08 05:00:00+00:00,5,8,2,2011
578,2014-11-26 05:00:00+00:00,5,26,11,2014
579,2014-11-22 05:00:00+00:00,5,22,11,2014
580,2012-11-22 05:00:00+00:00,5,22,11,2012
581,2010-09-18 04:00:00+00:00,4,18,9,2010
582,2014-12-08 05:00:00+00:00,5,8,12,2014
583,2014-12-07 05:00:00+00:00,5,7,12,2014
584,2014-12-02 05:00:00+00:00,5,2,12,2014
585,2014-12-03 05:00:00+00:00,5,3,12,2014
586,2014-12-09 05:00:00+00:00,5,9,12,2014
587,2011-08-15 04:00:00+00:00,4,15,8,2011
588,2009-11-01 04:00:00+00:00,4,1,11,2009
589,2014-12-06 05:00:00+00:00,5,6,12,2014
590,2014-12-10 05:00:00+00:00,5,10,12,2014
591,2014-12-12 05:00:00+00:00,5,12,12,2014
592,2014-12-05 05:00:00+00:00,5,5,12,2014
593,2014-12-04 05:00:00+00:00,5,4,12,2014
594,2011-11-11 05:00:00+00:00,5,11,11,2011
595,2014-12-11 05:00:00+00:00,5,11,12,2014
596,2013-11-29 05:00:00+00:00,5,29,11,2013
597,2012-01-30 05:00:00+00:00,5,30,1,2012
598,2014-12-13 05:00:00+00:00,5,13,12,2014
599,1996-01-01 05:00:00+00:00,5,1,1,1996
600,2013-10-27 04:00:00+00:00,4,27,10,2013
601,2012-10-01 04:00:00+00:00,4,1,10,2012
602,2014-12-15 05:00:00+00:00,5,15,12,2014
603,2014-12-19 05:00:00+00:00,5,19,12,2014
604,2014-12-21 05:00:00+00:00,5,21,12,2014
605,2014-12-18 05:00:00+00:00,5,18,12,2014
606,2014-12-16 05:00:00+00:00,5,16,12,2014
607,2014-12-20 05:00:00+00:00,5,20,12,2014
608,2014-12-17 05:00:00+00:00,5,17,12,2014
609,2014-12-14 05:00:00+00:00,5,14,12,2014
610,2014-12-23 05:00:00+00:00,5,23,12,2014
611,2014-12-22 05:00:00+00:00,5,22,12,2014
612,2012-12-15 05:00:00+00:00,5,15,12,2012
613,2009-08-01 04:00:00+00:00,4,1,8,2009
614,2014-12-24 05:00:00+00:00,5,24,12,2014
615,2012-12-23 05:00:00+00:00,5,23,12,2012
616,2012-12-27 05:00:00+00:00,5,27,12,2012
617,2001-01-01 05:00:00+00:00,5,1,1,2001
618,2014-12-25 05:00:00+00:00,5,25,12,2014
619,2015-01-01 05:00:00+00:00,5,1,1,2015
620,2014-12-31 05:00:00+00:00,5,31,12,2014
621,2015-01-05 05:00:00+00:00,5,5,1,2015
622,2015-01-02 05:00:00+00:00,5,2,1,2015
623,2014-12-28 05:00:00+00:00,5,28,12,2014
624,2014-12-30 05:00:00+00:00,5,30,12,2014
625,2014-12-27 05:00:00+00:00,5,27,12,2014
626,2015-01-04 05:00:00+00:00,5,4,1,2015
627,2015-01-03 05:00:00+00:00,5,3,1,2015
628,2014-12-29 05:00:00+00:00,5,29,12,2014
629,2005-06-13 04:00:00+00:00,4,13,6,2005
630,2014-12-26 05:00:00+00:00,5,26,12,2014
631,1990-01-01 05:00:00+00:00,5,1,1,1990
632,2015-01-06 05:00:00+00:00,5,6,1,2015
633,2008-11-01 04:00:00+00:00,4,1,11,2008
634,2007-01-01 05:00:00+00:00,5,1,1,2007
635,2013-05-13 04:00:00+00:00,4,13,5,2013
636,2015-01-11 05:00:00+00:00,5,11,1,2015
637,2015-01-18 05:00:00+00:00,5,18,1,2015
638,2015-01-10 05:00:00+00:00,5,10,1,2015
639,2013-08-05 04:00:00+00:00,4,5,8,2013
640,2015-01-14 05:00:00+00:00,5,14,1,2015
641,2015-01-12 05:00:00+00:00,5,12,1,2015
642,2015-01-09 05:00:00+00:00,5,9,1,2015
643,2015-01-07 05:00:00+00:00,5,7,1,2015
644,2015-01-17 05:00:00+00:00,5,17,1,2015
645,2015-01-08 05:00:00+00:00,5,8,1,2015
646,2015-01-15 05:00:00+00:00,5,15,1,2015
647,2015-01-13 05:00:00+00:00,5,13,1,2015
648,2015-01-16 05:00:00+00:00,5,16,1,2015
649,2015-01-19 05:00:00+00:00,5,19,1,2015
650,2011-01-09 05:00:00+00:00,5,9,1,2011
651,2015-01-31 05:00:00+00:00,5,31,1,2015
652,2015-01-25 05:00:00+00:00,5,25,1,2015
653,2015-01-30 05:00:00+00:00,5,30,1,2015
654,2015-01-24 05:00:00+00:00,5,24,1,2015
655,2015-01-23 05:00:00+00:00,5,23,1,2015
656,2015-01-20 05:00:00+00:00,5,20,1,2015
657,2015-01-22 05:00:00+00:00,5,22,1,2015
658,2015-01-26 05:00:00+00:00,5,26,1,2015
659,2015-01-21 05:00:00+00:00,5,21,1,2015
660,2015-01-28 05:00:00+00:00,5,28,1,2015
661,2015-01-29 05:00:00+00:00,5,29,1,2015
662,2015-02-01 05:00:00+00:00,5,1,2,2015
663,2015-01-27 05:00:00+00:00,5,27,1,2015
664,2000-10-01 04:00:00+00:00,4,1,10,2000
665,2013-04-19 04:00:00+00:00,4,19,4,2013
666,2001-10-30 05:00:00+00:00,5,30,10,2001
667,2015-02-04 05:00:00+00:00,5,4,2,2015
668,2015-02-06 05:00:00+00:00,5,6,2,2015
669,2015-02-07 05:00:00+00:00,5,7,2,2015
670,2015-02-03 05:00:00+00:00,5,3,2,2015
671,2015-02-05 05:00:00+00:00,5,5,2,2015
672,2015-02-02 05:00:00+00:00,5,2,2,2015
673,2015-02-08 05:00:00+00:00,5,8,2,2015
674,2015-02-09 05:00:00+00:00,5,9,2,2015
675,2015-02-13 05:00:00+00:00,5,13,2,2015
676,2015-02-11 05:00:00+00:00,5,11,2,2015
677,1980-04-24 04:00:00+00:00,4,24,4,1980
678,2015-02-12 05:00:00+00:00,5,12,2,2015
679,2015-02-10 05:00:00+00:00,5,10,2,2015
680,2011-03-28 04:00:00+00:00,4,28,3,2011
681,2015-02-14 05:00:00+00:00,5,14,2,2015
682,2007-12-04 05:00:00+00:00,5,4,12,2007
683,2015-02-22 05:00:00+00:00,5,22,2,2015
684,2015-02-26 05:00:00+00:00,5,26,2,2015
685,2015-02-24 05:00:00+00:00,5,24,2,2015
686,2015-02-20 05:00:00+00:00,5,20,2,2015
687,2015-02-18 05:00:00+00:00,5,18,2,2015
688,2015-02-25 05:00:00+00:00,5,25,2,2015
689,2015-02-27 05:00:00+00:00,5,27,2,2015
690,2011-12-26 05:00:00+00:00,5,26,12,2011
691,2015-02-23 05:00:00+00:00,5,23,2,2015
692,2015-02-15 05:00:00+00:00,5,15,2,2015
693,2015-02-19 05:00:00+00:00,5,19,2,2015
694,2015-02-28 05:00:00+00:00,5,28,2,2015
695,2015-02-17 05:00:00+00:00,5,17,2,2015
696,2015-02-21 05:00:00+00:00,5,21,2,2015
697,2012-03-22 04:00:00+00:00,4,22,3,2012
698,2015-02-16 05:00:00+00:00,5,16,2,2015
699,2011-11-26 05:00:00+00:00,5,26,11,2011
700,2015-03-03 05:00:00+00:00,5,3,3,2015
701,2015-03-10 04:00:00+00:00,4,10,3,2015
702,2015-03-04 05:00:00+00:00,5,4,3,2015
703,2015-03-02 05:00:00+00:00,5,2,3,2015
704,2015-03-07 05:00:00+00:00,5,7,3,2015
705,2015-03-08 05:00:00+00:00,5,8,3,2015
706,2015-03-01 05:00:00+00:00,5,1,3,2015
707,2015-03-06 05:00:00+00:00,5,6,3,2015
708,2015-03-05 05:00:00+00:00,5,5,3,2015
709,2015-03-11 04:00:00+00:00,4,11,3,2015
710,2015-03-09 04:00:00+00:00,4,9,3,2015
711,2013-07-17 04:00:00+00:00,4,17,7,2013
712,2015-03-12 04:00:00+00:00,4,12,3,2015
713,2013-06-24 04:00:00+00:00,4,24,6,2013
714,2012-02-27 05:00:00+00:00,5,27,2,2012
715,2010-02-14 05:00:00+00:00,5,14,2,2010
716,2015-03-18 04:00:00+00:00,4,18,3,2015
717,2015-03-17 04:00:00+00:00,4,17,3,2015
718,2015-03-13 04:00:00+00:00,4,13,3,2015
719,2004-10-01 04:00:00+00:00,4,1,10,2004
720,2015-03-22 04:00:00+00:00,4,22,3,2015
721,2015-03-19 04:00:00+00:00,4,19,3,2015
722,2015-03-21 04:00:00+00:00,4,21,3,2015
723,2015-03-14 04:00:00+00:00,4,14,3,2015
724,2015-03-15 04:00:00+00:00,4,15,3,2015
725,2015-03-23 04:00:00+00:00,4,23,3,2015
726,2015-03-16 04:00:00+00:00,4,16,3,2015
727,2015-03-20 04:00:00+00:00,4,20,3,2015
728,2015-03-24 04:00:00+00:00,4,24,3,2015
729,1999-03-24 05:00:00+00:00,5,24,3,1999
730,2015-04-02 04:00:00+00:00,4,2,4,2015
731,2015-04-01 04:00:00+00:00,4,1,4,2015
732,2015-03-28 04:00:00+00:00,4,28,3,2015
733,2015-04-03 04:00:00+00:00,4,3,4,2015
734,2015-03-27 04:00:00+00:00,4,27,3,2015
735,2015-03-26 04:00:00+00:00,4,26,3,2015
736,2015-03-29 04:00:00+00:00,4,29,3,2015
737,2015-03-30 04:00:00+00:00,4,30,3,2015
738,2015-04-05 04:00:00+00:00,4,5,4,2015
739,2015-03-25 04:00:00+00:00,4,25,3,2015
740,2015-03-31 04:00:00+00:00,4,31,3,2015
741,2015-04-04 04:00:00+00:00,4,4,4,2015
742,2015-04-06 04:00:00+00:00,4,6,4,2015
743,2012-03-12 04:00:00+00:00,4,12,3,2012
744,2015-04-13 04:00:00+00:00,4,13,4,2015
745,2015-04-14 04:00:00+00:00,4,14,4,2015
746,2015-04-07 04:00:00+00:00,4,7,4,2015
747,2015-04-15 04:00:00+00:00,4,15,4,2015
748,2015-04-12 04:00:00+00:00,4,12,4,2015
749,2015-04-08 04:00:00+00:00,4,8,4,2015
750,2015-04-10 04:00:00+00:00,4,10,4,2015
751,2015-04-09 04:00:00+00:00,4,9,4,2015
752,2015-04-16 04:00:00+00:00,4,16,4,2015
753,2015-04-11 04:00:00+00:00,4,11,4,2015
754,2012-02-03 05:00:00+00:00,5,3,2,2012
755,2015-04-17 04:00:00+00:00,4,17,4,2015
756,2011-06-21 04:00:00+00:00,4,21,6,2011
757,1966-06-09 04:00:00+00:00,4,9,6,1966
758,2015-04-25 04:00:00+00:00,4,25,4,2015
759,2015-04-19 04:00:00+00:00,4,19,4,2015
760,2015-04-21 04:00:00+00:00,4,21,4,2015
761,2015-04-26 04:00:00+00:00,4,26,4,2015
762,2015-04-18 04:00:00+00:00,4,18,4,2015
763,2015-04-20 04:00:00+00:00,4,20,4,2015
764,2015-04-22 04:00:00+00:00,4,22,4,2015
765,2015-04-27 04:00:00+00:00,4,27,4,2015
766,2015-04-24 04:00:00+00:00,4,24,4,2015
767,2015-04-23 04:00:00+00:00,4,23,4,2015
768,2005-07-01 04:00:00+00:00,4,1,7,2005
769,2013-06-26 04:00:00+00:00,4,26,6,2013
770,1999-01-01 05:00:00+00:00,5,1,1,1999
771,2015-04-28 04:00:00+00:00,4,28,4,2015
772,2015-04-29 04:00:00+00:00,4,29,4,2015
773,2015-04-30 04:00:00+00:00,4,30,4,2015
774,2015-05-04 04:00:00+00:00,4,4,5,2015
775,2015-05-06 04:00:00+00:00,4,6,5,2015
776,2015-05-02 04:00:00+00:00,4,2,5,2015
777,2015-05-05 04:00:00+00:00,4,5,5,2015
778,2015-05-01 04:00:00+00:00,4,1,5,2015
779,2015-05-08 04:00:00+00:00,4,8,5,2015
780,2015-05-03 04:00:00+00:00,4,3,5,2015
781,2015-05-07 04:00:00+00:00,4,7,5,2015
782,2015-05-09 04:00:00+00:00,4,9,5,2015
783,2015-05-14 04:00:00+00:00,4,14,5,2015
784,2015-05-15 04:00:00+00:00,4,15,5,2015
785,2015-05-12 04:00:00+00:00,4,12,5,2015
786,2015-05-10 04:00:00+00:00,4,10,5,2015
787,2015-05-11 04:00:00+00:00,4,11,5,2015
788,2015-05-19 04:00:00+00:00,4,19,5,2015
789,2015-05-18 04:00:00+00:00,4,18,5,2015
790,2015-05-16 04:00:00+00:00,4,16,5,2015
791,2013-05-15 04:00:00+00:00,4,15,5,2013
792,2015-05-13 04:00:00+00:00,4,13,5,2015
793,2007-08-01 04:00:00+00:00,4,1,8,2007
794,2015-05-17 04:00:00+00:00,4,17,5,2015
795,2013-06-15 04:00:00+00:00,4,15,6,2013
796,2005-04-30 04:00:00+00:00,4,30,4,2005
797,2015-05-20 04:00:00+00:00,4,20,5,2015
798,2010-05-12 04:00:00+00:00,4,12,5,2010
799,2015-05-29 04:00:00+00:00,4,29,5,2015
800,2015-05-22 04:00:00+00:00,4,22,5,2015
801,2015-05-21 04:00:00+00:00,4,21,5,2015
802,2015-05-24 04:00:00+00:00,4,24,5,2015
803,2015-05-27 04:00:00+00:00,4,27,5,2015
804,2015-05-28 04:00:00+00:00,4,28,5,2015
805,2015-05-23 04:00:00+00:00,4,23,5,2015
806,2015-05-25 04:00:00+00:00,4,25,5,2015
807,2015-05-30 04:00:00+00:00,4,30,5,2015
808,2015-05-26 04:00:00+00:00,4,26,5,2015
809,2013-03-27 04:00:00+00:00,4,27,3,2013
810,2011-01-19 05:00:00+00:00,5,19,1,2011
811,2015-05-31 04:00:00+00:00,4,31,5,2015
812,2008-05-27 04:00:00+00:00,4,27,5,2008
813,2015-06-08 04:00:00+00:00,4,8,6,2015
814,2015-06-07 04:00:00+00:00,4,7,6,2015
815,2015-06-09 04:00:00+00:00,4,9,6,2015
816,2015-06-02 04:00:00+00:00,4,2,6,2015
817,2015-06-05 04:00:00+00:00,4,5,6,2015
818,2015-06-01 04:00:00+00:00,4,1,6,2015
819,2015-06-03 04:00:00+00:00,4,3,6,2015
820,2015-06-06 04:00:00+00:00,4,6,6,2015
821,2015-06-04 04:00:00+00:00,4,4,6,2015
822,2015-06-10 04:00:00+00:00,4,10,6,2015
823,2015-06-14 04:00:00+00:00,4,14,6,2015
824,2015-06-13 04:00:00+00:00,4,13,6,2015
825,2015-06-17 04:00:00+00:00,4,17,6,2015
826,2015-06-11 04:00:00+00:00,4,11,6,2015
827,2015-06-12 04:00:00+00:00,4,12,6,2015
828,2015-06-15 04:00:00+00:00,4,15,6,2015
829,2015-06-16 04:00:00+00:00,4,16,6,2015
830,2015-06-18 04:00:00+00:00,4,18,6,2015
831,2015-06-19 04:00:00+00:00,4,19,6,2015
832,1970-01-01 05:00:00+00:00,5,1,1,1970
833,2015-06-20 04:00:00+00:00,4,20,6,2015
834,2015-06-21 04:00:00+00:00,4,21,6,2015
835,2015-06-27 04:00:00+00:00,4,27,6,2015
836,2015-06-26 04:00:00+00:00,4,26,6,2015
837,2015-06-25 04:00:00+00:00,4,25,6,2015
838,2015-06-22 04:00:00+00:00,4,22,6,2015
839,2015-06-29 04:00:00+00:00,4,29,6,2015
840,2015-06-30 04:00:00+00:00,4,30,6,2015
841,2015-06-28 04:00:00+00:00,4,28,6,2015
842,2015-06-24 04:00:00+00:00,4,24,6,2015
843,2015-06-23 04:00:00+00:00,4,23,6,2015
844,1991-01-01 05:00:00+00:00,5,1,1,1991
845,2012-07-27 04:00:00+00:00,4,27,7,2012
846,2015-07-01 04:00:00+00:00,4,1,7,2015
847,2015-07-03 04:00:00+00:00,4,3,7,2015
848,2015-07-04 04:00:00+00:00,4,4,7,2015
849,2015-07-05 04:00:00+00:00,4,5,7,2015
850,2015-07-06 04:00:00+00:00,4,6,7,2015
851,2015-07-08 04:00:00+00:00,4,8,7,2015
852,2015-07-10 04:00:00+00:00,4,10,7,2015
853,2015-07-07 04:00:00+00:00,4,7,7,2015
854,2015-07-09 04:00:00+00:00,4,9,7,2015
855,2015-07-02 04:00:00+00:00,4,2,7,2015
856,2015-07-11 04:00:00+00:00,4,11,7,2015
857,2015-07-12 04:00:00+00:00,4,12,7,2015
858,2015-07-13 04:00:00+00:00,4,13,7,2015
859,2015-07-17 04:00:00+00:00,4,17,7,2015
860,2015-07-16 04:00:00+00:00,4,16,7,2015
861,2015-07-14 04:00:00+00:00,4,14,7,2015
862,2015-07-18 04:00:00+00:00,4,18,7,2015
863,2015-07-21 04:00:00+00:00,4,21,7,2015
864,2015-07-20 04:00:00+00:00,4,20,7,2015
865,2015-07-15 04:00:00+00:00,4,15,7,2015
866,2015-07-19 04:00:00+00:00,4,19,7,2015
867,2015-07-22 04:00:00+00:00,4,22,7,2015
868,2015-07-30 04:00:00+00:00,4,30,7,2015
869,2015-07-31 04:00:00+00:00,4,31,7,2015
870,2015-07-25 04:00:00+00:00,4,25,7,2015
871,2015-07-28 04:00:00+00:00,4,28,7,2015
872,2015-07-27 04:00:00+00:00,4,27,7,2015
873,2015-07-26 04:00:00+00:00,4,26,7,2015
874,2015-07-24 04:00:00+00:00,4,24,7,2015
875,2015-07-23 04:00:00+00:00,4,23,7,2015
876,2015-08-01 04:00:00+00:00,4,1,8,2015
877,2015-07-29 04:00:00+00:00,4,29,7,2015
878,2015-08-02 04:00:00+00:00,4,2,8,2015
879,2015-08-05 04:00:00+00:00,4,5,8,2015
880,2015-08-03 04:00:00+00:00,4,3,8,2015
881,2015-08-04 04:00:00+00:00,4,4,8,2015
882,2015-08-08 04:00:00+00:00,4,8,8,2015
883,2015-08-07 04:00:00+00:00,4,7,8,2015
884,2015-08-06 04:00:00+00:00,4,6,8,2015
885,2015-08-09 04:00:00+00:00,4,9,8,2015
886,2015-08-10 04:00:00+00:00,4,10,8,2015
887,2015-08-11 04:00:00+00:00,4,11,8,2015
888,2015-08-12 04:00:00+00:00,4,12,8,2015
889,2015-08-18 04:00:00+00:00,4,18,8,2015
890,2015-08-13 04:00:00+00:00,4,13,8,2015
891,2015-08-20 04:00:00+00:00,4,20,8,2015
892,2015-08-19 04:00:00+00:00,4,19,8,2015
893,2015-08-21 04:00:00+00:00,4,21,8,2015
894,2015-08-16 04:00:00+00:00,4,16,8,2015
895,2015-08-15 04:00:00+00:00,4,15,8,2015
896,2015-08-17 04:00:00+00:00,4,17,8,2015
897,2015-08-14 04:00:00+00:00,4,14,8,2015
898,2015-08-22 04:00:00+00:00,4,22,8,2015
899,2015-08-26 04:00:00+00:00,4,26,8,2015
900,2015-08-27 04:00:00+00:00,4,27,8,2015
901,2015-08-31 04:00:00+00:00,4,31,8,2015
902,2015-08-28 04:00:00+00:00,4,28,8,2015
903,2015-08-30 04:00:00+00:00,4,30,8,2015
904,2015-08-23 04:00:00+00:00,4,23,8,2015
905,2015-08-24 04:00:00+00:00,4,24,8,2015
906,2015-08-29 04:00:00+00:00,4,29,8,2015
907,2015-08-25 04:00:00+00:00,4,25,8,2015
908,2015-09-01 04:00:00+00:00,4,1,9,2015
909,1989-11-20 05:00:00+00:00,5,20,11,1989
910,2015-09-02 04:00:00+00:00,4,2,9,2015
911,2015-09-08 04:00:00+00:00,4,8,9,2015
912,2015-09-07 04:00:00+00:00,4,7,9,2015
913,2015-09-05 04:00:00+00:00,4,5,9,2015
914,2015-09-04 04:00:00+00:00,4,4,9,2015
915,2015-09-06 04:00:00+00:00,4,6,9,2015
916,2015-09-11 04:00:00+00:00,4,11,9,2015
917,2015-09-09 04:00:00+00:00,4,9,9,2015
918,2015-09-03 04:00:00+00:00,4,3,9,2015
919,2015-09-12 04:00:00+00:00,4,12,9,2015
920,2015-09-10 04:00:00+00:00,4,10,9,2015
921,2012-08-31 04:00:00+00:00,4,31,8,2012
922,2015-09-13 04:00:00+00:00,4,13,9,2015
923,2015-09-15 04:00:00+00:00,4,15,9,2015
924,2015-09-20 04:00:00+00:00,4,20,9,2015
925,2015-09-19 04:00:00+00:00,4,19,9,2015
926,2015-09-14 04:00:00+00:00,4,14,9,2015
927,2015-09-16 04:00:00+00:00,4,16,9,2015
928,2015-09-18 04:00:00+00:00,4,18,9,2015
929,2015-09-22 04:00:00+00:00,4,22,9,2015
930,2015-09-21 04:00:00+00:00,4,21,9,2015
931,2015-09-23 04:00:00+00:00,4,23,9,2015
932,2015-09-17 04:00:00+00:00,4,17,9,2015
933,2015-09-24 04:00:00+00:00,4,24,9,2015
934,2015-09-26 04:00:00+00:00,4,26,9,2015
935,2015-09-28 04:00:00+00:00,4,28,9,2015
936,2015-09-25 04:00:00+00:00,4,25,9,2015
937,2015-09-27 04:00:00+00:00,4,27,9,2015
938,2015-10-01 04:00:00+00:00,4,1,10,2015
939,2015-09-29 04:00:00+00:00,4,29,9,2015
940,2015-10-02 04:00:00+00:00,4,2,10,2015
941,2015-09-30 04:00:00+00:00,4,30,9,2015
942,2015-10-03 04:00:00+00:00,4,3,10,2015
943,2015-10-04 04:00:00+00:00,4,4,10,2015
944,2015-10-05 04:00:00+00:00,4,5,10,2015
945,2015-10-09 04:00:00+00:00,4,9,10,2015
946,2015-10-11 04:00:00+00:00,4,11,10,2015
947,2015-10-10 04:00:00+00:00,4,10,10,2015
948,2015-10-13 04:00:00+00:00,4,13,10,2015
949,2015-10-07 04:00:00+00:00,4,7,10,2015
950,2015-10-06 04:00:00+00:00,4,6,10,2015
951,2015-10-08 04:00:00+00:00,4,8,10,2015
952,2015-10-12 04:00:00+00:00,4,12,10,2015
953,2012-09-12 04:00:00+00:00,4,12,9,2012
954,2011-09-11 04:00:00+00:00,4,11,9,2011
955,2015-10-14 04:00:00+00:00,4,14,10,2015
956,2015-10-16 04:00:00+00:00,4,16,10,2015
957,2015-10-20 04:00:00+00:00,4,20,10,2015
958,2011-11-01 04:00:00+00:00,4,1,11,2011
959,2015-10-15 04:00:00+00:00,4,15,10,2015
960,2015-10-22 04:00:00+00:00,4,22,10,2015
961,2015-10-17 04:00:00+00:00,4,17,10,2015
962,2015-10-23 04:00:00+00:00,4,23,10,2015
963,2015-10-18 04:00:00+00:00,4,18,10,2015
964,2015-10-19 04:00:00+00:00,4,19,10,2015
965,2015-10-21 04:00:00+00:00,4,21,10,2015
966,2015-10-24 04:00:00+00:00,4,24,10,2015
967,2015-10-25 04:00:00+00:00,4,25,10,2015
968,2013-09-09 04:00:00+00:00,4,9,9,2013
969,2015-11-01 04:00:00+00:00,4,1,11,2015
970,2015-10-27 04:00:00+00:00,4,27,10,2015
971,2015-10-31 04:00:00+00:00,4,31,10,2015
972,2015-10-28 04:00:00+00:00,4,28,10,2015
973,2015-11-02 05:00:00+00:00,5,2,11,2015
974,2015-10-26 04:00:00+00:00,4,26,10,2015
975,2015-10-29 04:00:00+00:00,4,29,10,2015
976,2015-10-30 04:00:00+00:00,4,30,10,2015
977,2015-11-03 05:00:00+00:00,5,3,11,2015
978,2015-11-05 05:00:00+00:00,5,5,11,2015
979,2015-11-04 05:00:00+00:00,5,4,11,2015
980,2015-11-06 05:00:00+00:00,5,6,11,2015
981,2015-11-07 05:00:00+00:00,5,7,11,2015
982,2015-11-09 05:00:00+00:00,5,9,11,2015
983,2015-11-11 05:00:00+00:00,5,11,11,2015
984,2015-11-12 05:00:00+00:00,5,12,11,2015
985,2015-11-10 05:00:00+00:00,5,10,11,2015
986,2015-11-08 05:00:00+00:00,5,8,11,2015
