reported_PK,reporteddate,reportedhour,reportedday,reportedmonth,reportedyear
205,2014-07-19 04:00:00+00:00,4,19,7,2014
206,2014-07-24 04:00:00+00:00,4,24,7,2014
207,2014-07-20 04:00:00+00:00,4,20,7,2014
208,2014-07-27 04:00:00+00:00,4,27,7,2014
209,2014-07-29 04:00:00+00:00,4,29,7,2014
210,2014-07-30 04:00:00+00:00,4,30,7,2014
211,2014-08-01 04:00:00+00:00,4,1,8,2014
212,2014-08-07 04:00:00+00:00,4,7,8,2014
213,2014-07-31 04:00:00+00:00,4,31,7,2014
214,2014-08-05 04:00:00+00:00,4,5,8,2014
215,2014-08-02 04:00:00+00:00,4,2,8,2014
216,2014-08-04 04:00:00+00:00,4,4,8,2014
217,2014-07-28 04:00:00+00:00,4,28,7,2014
218,2014-08-06 04:00:00+00:00,4,6,8,2014
219,2014-08-08 04:00:00+00:00,4,8,8,2014
220,2014-08-03 04:00:00+00:00,4,3,8,2014
221,2014-08-09 04:00:00+00:00,4,9,8,2014
222,2014-08-15 04:00:00+00:00,4,15,8,2014
223,2014-08-16 04:00:00+00:00,4,16,8,2014
224,2014-08-18 04:00:00+00:00,4,18,8,2014
225,2014-08-12 04:00:00+00:00,4,12,8,2014
226,2014-08-14 04:00:00+00:00,4,14,8,2014
227,2014-08-11 04:00:00+00:00,4,11,8,2014
228,2014-08-10 04:00:00+00:00,4,10,8,2014
229,2014-08-17 04:00:00+00:00,4,17,8,2014
230,2014-08-13 04:00:00+00:00,4,13,8,2014
231,2014-08-19 04:00:00+00:00,4,19,8,2014
232,2014-08-21 04:00:00+00:00,4,21,8,2014
233,2014-08-26 04:00:00+00:00,4,26,8,2014
234,2014-08-29 04:00:00+00:00,4,29,8,2014
235,2014-08-25 04:00:00+00:00,4,25,8,2014
236,2014-08-22 04:00:00+00:00,4,22,8,2014
237,2014-08-28 04:00:00+00:00,4,28,8,2014
238,2014-08-23 04:00:00+00:00,4,23,8,2014
239,2014-08-20 04:00:00+00:00,4,20,8,2014
240,2014-08-24 04:00:00+00:00,4,24,8,2014
241,2014-08-27 04:00:00+00:00,4,27,8,2014
242,2014-08-30 04:00:00+00:00,4,30,8,2014
243,2014-08-31 04:00:00+00:00,4,31,8,2014
244,2014-09-01 04:00:00+00:00,4,1,9,2014
245,2014-09-07 04:00:00+00:00,4,7,9,2014
246,2014-09-04 04:00:00+00:00,4,4,9,2014
247,2014-09-06 04:00:00+00:00,4,6,9,2014
248,2014-09-02 04:00:00+00:00,4,2,9,2014
249,2014-09-03 04:00:00+00:00,4,3,9,2014
250,2014-09-08 04:00:00+00:00,4,8,9,2014
251,2014-09-05 04:00:00+00:00,4,5,9,2014
252,2014-09-09 04:00:00+00:00,4,9,9,2014
253,2014-09-13 04:00:00+00:00,4,13,9,2014
254,2014-09-18 04:00:00+00:00,4,18,9,2014
255,2014-09-14 04:00:00+00:00,4,14,9,2014
256,2014-09-11 04:00:00+00:00,4,11,9,2014
257,2014-09-16 04:00:00+00:00,4,16,9,2014
258,2014-09-19 04:00:00+00:00,4,19,9,2014
259,2014-09-10 04:00:00+00:00,4,10,9,2014
260,2014-09-15 04:00:00+00:00,4,15,9,2014
261,2014-09-12 04:00:00+00:00,4,12,9,2014
262,2014-09-17 04:00:00+00:00,4,17,9,2014
263,2014-09-20 04:00:00+00:00,4,20,9,2014
264,2014-09-25 04:00:00+00:00,4,25,9,2014
265,2014-09-24 04:00:00+00:00,4,24,9,2014
266,2014-09-21 04:00:00+00:00,4,21,9,2014
267,2014-09-26 04:00:00+00:00,4,26,9,2014
268,2014-09-27 04:00:00+00:00,4,27,9,2014
269,2014-09-28 04:00:00+00:00,4,28,9,2014
270,2014-09-22 04:00:00+00:00,4,22,9,2014
271,2014-09-29 04:00:00+00:00,4,29,9,2014
272,2014-09-23 04:00:00+00:00,4,23,9,2014
273,2014-09-30 04:00:00+00:00,4,30,9,2014
274,2014-10-05 04:00:00+00:00,4,5,10,2014
275,2014-10-07 04:00:00+00:00,4,7,10,2014
276,2014-10-03 04:00:00+00:00,4,3,10,2014
277,2014-10-09 04:00:00+00:00,4,9,10,2014
278,2014-10-08 04:00:00+00:00,4,8,10,2014
279,2014-10-01 04:00:00+00:00,4,1,10,2014
280,2014-10-02 04:00:00+00:00,4,2,10,2014
281,2014-10-04 04:00:00+00:00,4,4,10,2014
282,2014-10-10 04:00:00+00:00,4,10,10,2014
283,2014-10-06 04:00:00+00:00,4,6,10,2014
284,2014-10-11 04:00:00+00:00,4,11,10,2014
285,2014-10-13 04:00:00+00:00,4,13,10,2014
286,2014-10-15 04:00:00+00:00,4,15,10,2014
287,2014-10-14 04:00:00+00:00,4,14,10,2014
288,2014-10-16 04:00:00+00:00,4,16,10,2014
289,2014-10-17 04:00:00+00:00,4,17,10,2014
290,2014-10-20 04:00:00+00:00,4,20,10,2014
291,2014-10-18 04:00:00+00:00,4,18,10,2014
292,2014-10-19 04:00:00+00:00,4,19,10,2014
293,2014-10-21 04:00:00+00:00,4,21,10,2014
294,2014-10-12 04:00:00+00:00,4,12,10,2014
295,2014-10-26 04:00:00+00:00,4,26,10,2014
296,2014-10-28 04:00:00+00:00,4,28,10,2014
297,2014-10-23 04:00:00+00:00,4,23,10,2014
298,2014-10-30 04:00:00+00:00,4,30,10,2014
299,2014-10-27 04:00:00+00:00,4,27,10,2014
300,2014-10-22 04:00:00+00:00,4,22,10,2014
301,2014-10-25 04:00:00+00:00,4,25,10,2014
302,2014-10-24 04:00:00+00:00,4,24,10,2014
303,2014-10-29 04:00:00+00:00,4,29,10,2014
304,2014-10-31 04:00:00+00:00,4,31,10,2014
305,2014-11-01 04:00:00+00:00,4,1,11,2014
306,2014-11-06 05:00:00+00:00,5,6,11,2014
307,2014-11-04 05:00:00+00:00,5,4,11,2014
308,2014-11-03 05:00:00+00:00,5,3,11,2014
309,2014-11-02 04:00:00+00:00,4,2,11,2014
310,2014-11-07 05:00:00+00:00,5,7,11,2014
311,2014-11-05 05:00:00+00:00,5,5,11,2014
312,2014-11-09 05:00:00+00:00,5,9,11,2014
313,2014-11-08 05:00:00+00:00,5,8,11,2014
314,2014-11-10 05:00:00+00:00,5,10,11,2014
315,2014-11-12 05:00:00+00:00,5,12,11,2014
316,2014-11-13 05:00:00+00:00,5,13,11,2014
317,2014-11-17 05:00:00+00:00,5,17,11,2014
318,2014-11-11 05:00:00+00:00,5,11,11,2014
319,2014-11-18 05:00:00+00:00,5,18,11,2014
320,2014-11-19 05:00:00+00:00,5,19,11,2014
321,2014-11-14 05:00:00+00:00,5,14,11,2014
322,2014-11-15 05:00:00+00:00,5,15,11,2014
323,2014-11-16 05:00:00+00:00,5,16,11,2014
324,2014-11-20 05:00:00+00:00,5,20,11,2014
325,2014-11-21 05:00:00+00:00,5,21,11,2014
326,2014-11-29 05:00:00+00:00,5,29,11,2014
327,2014-11-23 05:00:00+00:00,5,23,11,2014
328,2014-11-24 05:00:00+00:00,5,24,11,2014
329,2014-11-30 05:00:00+00:00,5,30,11,2014
330,2014-11-25 05:00:00+00:00,5,25,11,2014
331,2014-11-28 05:00:00+00:00,5,28,11,2014
332,2014-12-01 05:00:00+00:00,5,1,12,2014
333,2014-11-22 05:00:00+00:00,5,22,11,2014
334,2014-11-26 05:00:00+00:00,5,26,11,2014
335,2014-11-27 05:00:00+00:00,5,27,11,2014
336,2014-12-08 05:00:00+00:00,5,8,12,2014
337,2014-12-07 05:00:00+00:00,5,7,12,2014
338,2014-12-02 05:00:00+00:00,5,2,12,2014
339,2014-12-03 05:00:00+00:00,5,3,12,2014
340,2014-12-09 05:00:00+00:00,5,9,12,2014
341,2014-12-06 05:00:00+00:00,5,6,12,2014
342,2014-12-10 05:00:00+00:00,5,10,12,2014
343,2014-12-12 05:00:00+00:00,5,12,12,2014
344,2014-12-05 05:00:00+00:00,5,5,12,2014
345,2014-12-13 05:00:00+00:00,5,13,12,2014
346,2014-12-11 05:00:00+00:00,5,11,12,2014
347,2014-12-04 05:00:00+00:00,5,4,12,2014
348,2014-12-16 05:00:00+00:00,5,16,12,2014
349,2014-12-20 05:00:00+00:00,5,20,12,2014
350,2014-12-19 05:00:00+00:00,5,19,12,2014
351,2014-12-21 05:00:00+00:00,5,21,12,2014
352,2014-12-15 05:00:00+00:00,5,15,12,2014
353,2014-12-23 05:00:00+00:00,5,23,12,2014
354,2014-12-14 05:00:00+00:00,5,14,12,2014
355,2014-12-22 05:00:00+00:00,5,22,12,2014
356,2014-12-17 05:00:00+00:00,5,17,12,2014
357,2014-12-18 05:00:00+00:00,5,18,12,2014
358,2014-12-24 05:00:00+00:00,5,24,12,2014
359,2014-12-25 05:00:00+00:00,5,25,12,2014
360,2015-01-01 05:00:00+00:00,5,1,1,2015
361,2015-01-05 05:00:00+00:00,5,5,1,2015
362,2015-01-02 05:00:00+00:00,5,2,1,2015
363,2014-12-28 05:00:00+00:00,5,28,12,2014
364,2015-01-03 05:00:00+00:00,5,3,1,2015
365,2015-01-04 05:00:00+00:00,5,4,1,2015
366,2014-12-27 05:00:00+00:00,5,27,12,2014
367,2014-12-29 05:00:00+00:00,5,29,12,2014
368,2014-12-31 05:00:00+00:00,5,31,12,2014
369,2014-12-26 05:00:00+00:00,5,26,12,2014
370,2014-12-30 05:00:00+00:00,5,30,12,2014
371,2015-01-06 05:00:00+00:00,5,6,1,2015
372,2015-01-11 05:00:00+00:00,5,11,1,2015
373,2015-01-18 05:00:00+00:00,5,18,1,2015
374,2015-01-09 05:00:00+00:00,5,9,1,2015
375,2015-01-14 05:00:00+00:00,5,14,1,2015
376,2015-01-12 05:00:00+00:00,5,12,1,2015
377,2015-01-07 05:00:00+00:00,5,7,1,2015
378,2015-01-17 05:00:00+00:00,5,17,1,2015
379,2015-01-13 05:00:00+00:00,5,13,1,2015
380,2015-01-15 05:00:00+00:00,5,15,1,2015
